Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Priority,Requirement ID,Phase,Acceptance Criteria,Component
Epic,"EPIC-P0-01: Tenant, Org & Control-Plane Foundations","h2. Goal
Multi-tenant org model, hierarchy, feature flags, bulk ops, audit history

h2. Scope
Prefixes: ORG
MUST stories: 15
Phase: 0

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.","Tenant, Org & Control-Plane Foundations",,"phase-0,visibility,control-plane,epic",Highest,ORG,0,15 MUST requirements verified; phase 0 exit gate.,ORG
Epic,"EPIC-P0-02: Identity, RBAC/ABAC & Admin Security","h2. Goal
SSO/MFA/SCIM, least privilege, service accounts, session/IP controls, purpose-aware ABAC

h2. Scope
Prefixes: IAM
MUST stories: 20
Phase: 0

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.","Identity, RBAC/ABAC & Admin Security",,"phase-0,visibility,security,epic",Highest,IAM,0,20 MUST requirements verified; phase 0 exit gate.,IAM
Epic,EPIC-P0-03: Event Fabric & Data Platform,"h2. Goal
Normalized envelope, schema registry, stream ingest, stores separation, retention hooks

h2. Scope
Prefixes: DATA
MUST stories: 25
Phase: 0

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Event Fabric & Data Platform,,"phase-0,visibility,data-plane,epic",Highest,DATA,0,25 MUST requirements verified; phase 0 exit gate.,DATA
Epic,EPIC-P0-04: Privacy Defaults & Governance Runtime,"h2. Goal
Level-1 defaults, purpose limitation, Do Not Record hooks, focused expiry plumbing

h2. Scope
Prefixes: PRIV
MUST stories: 30
Phase: 0

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Privacy Defaults & Governance Runtime,,"phase-0,visibility,privacy,epic",Highest,PRIV,0,30 MUST requirements verified; phase 0 exit gate.,PRIV
Epic,EPIC-P0-05: Signed Agent Framework & Fleet Core,"h2. Goal
Common agent runtime, signing, check-in, offline queue, tamper, policy apply, capability awareness

h2. Scope
Prefixes: AGENT
MUST stories: 33
Phase: 0

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Signed Agent Framework & Fleet Core,,"phase-0,visibility,endpoint,epic",Highest,AGENT,0,33 MUST requirements verified; phase 0 exit gate.,AGENT
Epic,"EPIC-P0-06: Platform SLO, Security & Observability Baseline","h2. Goal
NFR gates for agent resources, ingest freshness, isolation, SDLC, privacy defaults, simulation safety, coverage visibility

h2. Scope
Prefixes: NFR
MUST stories: 33
Phase: 0

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.","Platform SLO, Security & Observability Baseline",,"phase-0,visibility,nfr,epic",Highest,NFR,0,33 MUST requirements verified; phase 0 exit gate.,NFR
Epic,EPIC-P1-01: Windows Endpoint Agent GA,"h2. Goal
Windows collectors for metadata UAM with performance and privacy-safe failure modes

h2. Scope
Prefixes: AGENT-WIN
MUST stories: 10
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Windows Endpoint Agent GA,,"phase-1,visibility,windows,epic",Highest,AGENT-WIN,1,10 MUST requirements verified; phase 1 exit gate.,AGENT-WIN
Epic,EPIC-P1-02: Application Monitoring (Metadata),"h2. Goal
App usage telemetry, classification hooks, exclusions

h2. Scope
Prefixes: UAM-APP
MUST stories: 18
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Application Monitoring (Metadata),,"phase-1,visibility,uam,epic",Highest,UAM-APP,1,18 MUST requirements verified; phase 1 exit gate.,UAM-APP
Epic,EPIC-P1-03: Website & Search Monitoring (Metadata),"h2. Goal
Domain/URL metadata with Do Not Record and enrichment controls

h2. Scope
Prefixes: UAM-WEB
MUST stories: 20
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Website & Search Monitoring (Metadata),,"phase-1,visibility,uam,epic",Highest,UAM-WEB,1,20 MUST requirements verified; phase 1 exit gate.,UAM-WEB
Epic,EPIC-P1-04: Active/Idle & Work-Time Monitoring,"h2. Goal
Session time, schedules, idle semantics without equating idle to poor performance

h2. Scope
Prefixes: UAM-TIME
MUST stories: 16
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Active/Idle & Work-Time Monitoring,,"phase-1,visibility,uam,epic",Highest,UAM-TIME,1,16 MUST requirements verified; phase 1 exit gate.,UAM-TIME
Epic,"EPIC-P1-05: File, USB, Print & Transfer Metadata","h2. Goal
File/doc/USB/print/transfer metadata collectors and lineage hooks (no Level-3 content by default)

h2. Scope
Prefixes: UAM-FILE
MUST stories: 30
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.","File, USB, Print & Transfer Metadata",,"phase-1,visibility,uam,epic",Highest,UAM-FILE,1,30 MUST requirements verified; phase 1 exit gate.,UAM-FILE
Epic,EPIC-P1-06: Network Metadata Monitoring,"h2. Goal
Connection/process metadata context without packet capture

h2. Scope
Prefixes: UAM-NET
MUST stories: 14
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.",Network Metadata Monitoring,,"phase-1,visibility,uam,epic",Highest,UAM-NET,1,14 MUST requirements verified; phase 1 exit gate.,UAM-NET
Epic,"EPIC-P1-07: Dashboards, Reporting & Search (Visibility)","h2. Goal
Role-aware dashboards, reports, search over authorized metadata with coverage indicators

h2. Scope
Prefixes: DASH
MUST stories: 20
Phase: 1

h2. Exit
All child MUST stories Done; golden gates for phase met; Upgrade Pack principles P1–P8 not violated.","Dashboards, Reporting & Search (Visibility)",,"phase-1,visibility,ux,epic",Highest,DASH,1,20 MUST requirements verified; phase 1 exit gate.,DASH
Story,ORG-001: Multi-tenant organization model,"h2. Normative
The platform shall isolate configuration, telemetry, evidence, models, encryption context, retention and billing by tenant.

h2. Acceptance (v1.2)
Create tenants A/B; write telemetry to A; B UI/API/search/AI return deny/empty; audit authz.cross_tenant.denied.

h2. Traceability
* Requirement: ORG-001
* Edition: Visibility
* Strategy: SURPASS
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-001",Highest,ORG-001,0,Create tenants A/B; write telemetry to A; B UI/API/search/AI return deny/empty; audit authz.cross_tenant.denied.,ORG
Story,ORG-002: Create and manage business units with inherited and overridden policy scope,"h2. Normative
The platform shall create and manage business units with inherited and overridden policy scope.

h2. Acceptance (v1.2)
Given synthetic fixtures for tenant A; when exercising `ORG-002`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.

h2. Traceability
* Requirement: ORG-002
* Edition: Visibility
* Strategy: ADAPT
* Release gate: Visibility GA
* Parent epic: EPIC-P0-01
",,EPIC-P0-01,"phase-0,visibility,control-plane,req-id,must,org-002",High,ORG-002,0,Given synthetic fixtures for tenant A; when exercising `ORG-002`; then normative behavior is observable via UI/API/events/audit within applicable NFR latency; unauthorized tenant/role/purpose denied with audit; gate `Visibility GA` checks pass. Min: 1 positive + 1 negative automated test linked to this ID.,ORG
