id,title,normative,old_priority,new_priority,edition,strategy,phase,release_gate,acceptance_v12
ORG-001,Multi-tenant organization model,"The platform shall isolate configuration, telemetry, evidence, models, encryption context, retention and billing by tenant.",MUST,MUST,Visibility,SURPASS,1,Visibility GA,
ORG-002,Create and manage business units with inherited and overridden policy scope,The platform shall create and manage business units with inherited and overridden policy scope.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-003,"Create departments, teams, locations and cost centers and support nested organizational hierarchy","The platform shall create departments, teams, locations and cost centers and support nested organizational hierarchy.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-004,Assign users to multiple organizational dimensions without duplicating identity,The platform shall assign users to multiple organizational dimensions without duplicating identity.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-005,"Create static user groups for policy, reporting and investigation scope","The platform shall create static user groups for policy, reporting and investigation scope.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-006,"Create dynamic groups from identity, HR, risk, device, role, location and employment-state attributes","The platform shall create dynamic groups from identity, HR, risk, device, role, location and employment-state attributes.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-007,Create priority/high-impact user groups with stricter governance and differentiated risk treatment,The platform shall create priority/high-impact user groups with stricter governance and differentiated risk treatment.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-008,Import and reconcile organizational hierarchy from directory and HR sources,The platform shall import and reconcile organizational hierarchy from directory and HR sources.,MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-009,"Support custom user metadata fields with schema, validation and sensitivity classification","The platform shall support custom user metadata fields with schema, validation and sensitivity classification.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
ORG-010,"Support configurable work schedules, shifts, time zones, holidays and overnight schedules","The platform shall support configurable work schedules, shifts, time zones, holidays and overnight schedules.",MUST,MUST,Visibility,ADAPT,1,Visibility GA,
